"","","","","","",""
"2051170","SUTHERLAND","29/11/2023","16:11 PM","52","218","Environmental"
"2051188","LAKE MACQUARIE","29/11/2023","16:11 PM","1080","441","Environmental"
"2051207","LAKE MACQUARIE","29/11/2023","16:11 PM","587","272","Equipment fault"
"2051198","LAKE MACQUARIE","29/11/2023","16:11 PM","1916","292","Environmental"
"2051197","DRUMMOYNE","29/11/2023","16:11 PM","52","156","Environmental"
"2051246","LAKE MACQUARIE","29/11/2023","16:11 PM","523","212","Environmental"
"2051214","BANKSTOWN","29/11/2023","16:11 PM","72","80","Environmental"
"2051228","WYONG","29/11/2023","17:11 PM","897","55","Environmental"
"2051319","CANTERBURY","29/11/2023","17:11 PM","51","195","Third party"
"2051379","LAKE MACQUARIE","29/11/2023","17:11 PM","81","557","Equipment fault"
"2051359","HORNSBY","29/11/2023","17:11 PM","1289","133","Environmental"
"2051441","GOSFORD","29/11/2023","19:11 PM","306","104","Equipment fault"
"2051284","LAKE MACQUARIE","29/11/2023","19:11 PM","57","825","Environmental"
"2051504","ROCKDALE","29/11/2023","21:11 PM","647","120","Environmental"
"2051548","MUSWELLBROOK","30/11/2023","2:11 AM","1125","108","Environmental"
"2051591","HORNSBY","30/11/2023","6:11 AM","208","211","Equipment fault"
"2051738","BANKSTOWN","30/11/2023","11:11 AM","643","70","Equipment fault"
"2051808","KU-RING-GAI","30/11/2023","14:11 PM","57","202","Environmental"
"2052045","NORTH SYDNEY","30/11/2023","21:11 PM","103","731","Environmental"
"2052207","CESSNOCK","1/12/2023","16:12 PM","99","205","Equipment fault"
"2052263","SINGLETON","2/12/2023","0:12 AM","137","603","Environmental"
"2052252","CANTERBURY","2/12/2023","9:12 AM","86","485","Third party"
"2052315","SINGLETON","2/12/2023","11:12 AM","137","115","Equipment fault"
"2062116","SINGLETON","2/12/2023","15:12 PM","137","1,192","Equipment fault"
"2052370","BANKSTOWN","2/12/2023","21:12 PM","1130","166","Lightning"
"2052395","SUTHERLAND","3/12/2023","2:12 AM","58","75","Environmental"
"2052412","WILLOUGHBY","3/12/2023","5:12 AM","53","492","Equipment fault"
"2052490","LAKE MACQUARIE","3/12/2023","18:12 PM","77","68","Environmental"
"2052529","RANDWICK","3/12/2023","19:12 PM","2986","118","Equipment fault"
"2052535","LAKE MACQUARIE","3/12/2023","22:12 PM","190","7","Environmental"
"2052523","PORT STEPHENS","3/12/2023","23:12 PM","65","209","Equipment fault"
"2052561","MAITLAND","4/12/2023","5:12 AM","672","114","Environmental"
"2052912","MUSWELLBROOK","4/12/2023","6:12 AM","176","234","Environmental"
